,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk,ibmq_santiago,ibmq_bogota,ibmq_rome,ibmq_athens
0,1904,1445,1290,1520,1903,1548,1682,2107,1207,1244
1,2590,2209,2072,2378,2737,2315,2452,2690,1956,2054
2,3425,3140,3056,3299,3557,3183,3484,3466,2916,2992
3,4398,4271,4086,4344,4608,4115,4457,4275,3867,4143
4,5225,5164,5070,5234,5413,5062,5469,5165,5008,4983
5,6082,6178,6065,6229,6269,6022,6417,5948,5981,6018
6,6762,6856,6879,6938,7035,6717,7149,6605,6832,6853
7,7288,7555,7536,7639,7652,7320,7707,7122,7593,7496
8,7586,7938,7979,7987,8024,7658,7998,7395,7959,7975
9,7684,8093,8155,8151,8144,7800,8054,7448,8139,8117
10,749,302,263,466,909,480,227,1117,150,164
11,7655,8060,8131,8133,8113,7724,8041,7479,8116,8109
12,805,360,274,518,900,481,223,1078,143,169
13,7463,8036,8112,8081,8091,7764,8033,7403,8130,8119
14,832,332,283,515,930,513,251,1066,173,170
15,7286,8012,8081,8080,8090,7698,8028,7420,8108,8106
16,928,354,296,503,981,514,243,1098,172,199
17,6997,8000,8089,8062,8077,7717,8043,7457,8101,8079
18,978,389,305,509,1042,531,231,1102,178,211
19,6667,7955,8095,8045,8008,7667,8008,7479,8089,8084
20,1059,415,290,513,1018,567,281,1142,209,216
21,6326,7941,8077,8041,8045,7614,8010,7443,8081,8054
22,1297,442,314,569,1071,617,270,1149,197,230
23,5919,7911,8046,7992,7999,7610,7988,7434,8088,8055
24,1318,528,357,562,1055,627,282,1157,204,243
25,5476,7856,8019,7984,8011,7583,7992,7430,8072,8057
26,1636,497,366,616,1087,693,268,1144,202,243
27,5053,7805,8037,7953,7994,7554,8004,7364,8053,8048
28,1854,551,365,627,1034,669,298,1087,211,255
29,4679,7805,8014,7929,7987,7521,7957,7369,8047,8018
30,2228,624,373,628,1038,747,267,1154,236,207
31,4362,7773,8005,7898,7965,7484,7960,7389,8037,8027
32,2430,629,405,702,1128,790,313,1237,256,242
33,3964,7788,7973,7860,7935,7393,7937,7367,8027,8007
34,2812,652,420,737,1087,826,297,1173,228,264
35,3670,7639,7964,7843,7938,7346,7937,7392,8026,8015
36,3276,695,449,757,1166,884,316,1173,252,288
37,3366,7662,7949,7788,7927,7363,7928,7333,8035,7995
38,3615,757,472,796,1176,943,341,1249,257,294
39,3057,7625,7923,7783,7889,7245,7941,7321,8044,8018
40,4028,772,498,796,1165,973,331,1172,270,290
41,2914,7549,7910,7770,7858,7233,7926,7277,8007,7995
42,4358,852,502,868,1161,1014,379,1192,286,332
43,2876,7496,7925,7717,7840,7169,7939,7271,8013,7987
44,4776,903,515,866,1234,1049,365,1199,290,284
45,2611,7420,7871,7683,7828,7148,7898,7275,7970,7934
46,5173,902,528,875,1257,1189,359,1260,306,306
47,2569,7371,7833,7731,7792,7039,7857,7273,7978,7929
48,5382,1018,570,900,1234,1237,402,1252,313,361
49,2436,7337,7799,7699,7786,6949,7849,7255,7982,7957
50,5724,1066,575,907,1225,1265,456,1282,278,363
51,2383,7263,7821,7625,7788,6917,7841,7223,7967,7956
52,5853,1140,612,963,1338,1299,420,1342,316,331
53,2294,7276,7782,7618,7713,6875,7816,7211,8000,7924
54,6065,1140,608,954,1367,1399,451,1338,306,339
55,2161,7121,7759,7617,7686,6769,7821,7194,7953,7907
56,6051,1237,623,1010,1311,1509,486,1323,324,392
57,2075,7141,7747,7558,7659,6721,7739,7188,7933,7925
58,6161,1328,696,987,1353,1661,548,1436,313,364
59,2030,7049,7695,7535,7658,6650,7720,7126,7906,7868
