rotation_angle_degrees,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk,ibmq_santiago,ibmq_bogota,ibmq_rome,ibmq_athens
0,7568,8027,8130,8128,8137,7820,8070,7497,8149,8140
15,7478,7939,8011,8019,8001,7750,7884,7376,8031,8021
30,7133,7545,7604,7637,7564,7363,7450,7036,7687,7652
45,6550,6956,6993,7037,7059,6765,6790,6471,7064,7019
60,5814,6170,6237,6273,6308,6005,5915,5876,6334,6206
75,5133,5248,5208,5391,5480,5146,4959,5132,5343,5203
90,4314,4238,4176,4288,4546,4192,3981,4233,4205,4254
105,3466,3188,3246,3479,3694,3137,2892,3449,3290,3233
120,2631,2271,2215,2581,2911,2306,2058,2627,2305,2249
135,1989,1481,1494,1780,2159,1644,1282,1993,1463,1457
150,1618,853,911,1117,1614,1042,695,1506,815,723
165,1324,440,492,750,1334,717,381,1170,338,316
180,1190,296,362,585,1139,544,245,1125,190,155
195,1405,391,466,749,1326,658,408,1196,246,274
210,1753,815,909,1139,1656,1049,890,1541,618,641
225,2220,1372,1486,1684,2178,1625,1551,2073,1266,1234
240,2940,2221,2326,2507,2919,2396,2373,2700,1965,2062
255,3693,3127,3265,3435,3821,3299,3384,3476,3045,3013
270,4602,4220,4293,4399,4760,4119,4332,4307,4027,4013
285,5380,5145,5256,5343,5675,5180,5393,5147,5050,5066
300,6092,6003,6264,6303,6462,6099,6298,5877,6003,6011
315,6761,6880,7102,7001,7133,6842,7062,6584,6818,6847
330,7235,7545,7621,7620,7706,7455,7623,7054,7588,7539
345,7509,7937,7986,8005,8050,7761,8031,7457,7951,7976
360,7657,8080,8157,8145,8143,7902,8079,7504,8132,8137
