num_complete_revolutions,ibmqx2,ibmq_ourense,ibmq_valencia,ibmq_16_melbourne,ibmq_vigo,ibmq_armonk,ibmq_santiago,ibmq_bogota,ibmq_rome,ibmq_athens
0,7621,7966,8096,8105,8120,7414,7965,7514,8126,8111
1,7582,7964,8112,8119,8088,7323,7957,7469,8113,8096
2,7536,7917,8085,8109,8049,7063,7909,7499,8090,8092
3,7581,7837,8021,8104,8012,6621,7900,7444,8053,8060
4,7496,7720,8003,8112,7930,6300,7823,7424,7990,8009
5,7513,7602,7963,8074,7903,5964,7761,7415,7963,7999
6,7488,7515,7880,8057,7784,5666,7722,7374,7906,7928
7,7481,7402,7829,8069,7713,5384,7602,7364,7880,7899
8,7473,7225,7764,8038,7661,5278,7541,7297,7798,7850
9,7416,7104,7746,8029,7534,5243,7409,7276,7709,7779
10,7404,6987,7651,7999,7454,5289,7291,7232,7687,7723
11,7348,6777,7603,8005,7356,5486,7260,7222,7602,7696
12,7356,6554,7474,7983,7232,5562,7167,7178,7557,7632
13,7367,6414,7363,7963,7132,5725,7051,7095,7419,7553
14,7328,6296,7267,7961,6984,5785,6960,7005,7368,7482
