,times_us,ramsey_values
0,0.1,(-1.71215398371328-0.95995463467008j)
1,0.125,(-1.63713130692608-0.865152794624j)
2,0.15,(-1.33106136776704-0.41526562390016j)
3,0.175,(-0.93062353125376+0.2046461739008j)
4,0.19999999999999998,(-0.38606752186368+0.99621959368704j)
5,0.22499999999999998,(0.1300921581568+1.78121303130112j)
6,0.24999999999999997,(0.69786558005248+2.70427431632896j)
7,0.27499999999999997,(1.22511660417024+3.48485727551488j)
8,0.29999999999999993,(1.47097915490304+3.827352731648j)
9,0.32499999999999996,(1.76519917862912+4.30944737558528j)
10,0.35,(1.81064211365888+4.28632233213952j)
11,0.3749999999999999,(1.5831467556864+3.98500252614656j)
12,0.3999999999999999,(1.41065382264832+3.68515307536384j)
13,0.42499999999999993,(0.91342873034752+2.95783224049664j)
14,0.44999999999999996,(0.34791638433792+2.07172411588608j)
15,0.47499999999999987,(-0.21636803723264+1.2297523167232j)
16,0.4999999999999999,(-0.73082022658048+0.50627778445312j)
17,0.5249999999999999,(-1.17951327895552-0.23273997860864j)
18,0.5499999999999999,(-1.5259993636864-0.715183357952j)
19,0.5749999999999998,(-1.71419895857152-0.97573427740672j)
20,0.5999999999999999,(-1.68330874847232-1.0152656764928j)
21,0.6249999999999999,(-1.47274629906432-0.66327372890112j)
22,0.6499999999999998,(-1.18616896831488-0.190435557376j)
23,0.6749999999999998,(-0.73613566803968+0.55722381410304j)
24,0.6999999999999998,(-0.11150526775296+1.490181685248j)
25,0.7249999999999999,(0.4054830809088+2.23661780893696j)
26,0.7499999999999999,(0.95520961855488+3.01942643359744j)
27,0.7749999999999998,(1.40191658409984+3.69919258525696j)
28,0.7999999999999998,(1.6803824664576+4.16171224465408j)
29,0.8249999999999998,(1.83837501947904+4.3292465037312j)
30,0.8499999999999998,(1.70949529829376+4.13229742292992j)
31,0.8749999999999998,(1.54066046943232+3.90441451126784j)
32,0.8999999999999998,(1.19785832579072+3.32806077022208j)
33,0.9249999999999998,(0.71571611844608+2.60087834738688j)
34,0.9499999999999998,(0.11234093039616+1.68114482315264j)
35,0.9749999999999998,(-0.43177440444416+0.86596967727104j)
36,0.9999999999999998,(-0.93945262505984+0.11852774899712j)
37,1.025,(-1.36833321140224-0.49468053389312j)
38,1.0499999999999998,(-1.59297619099648-0.88035538501632j)
39,1.0749999999999997,(-1.6934737281024-0.97111173496832j)
40,1.0999999999999999,(-1.61125647777792-0.8524834799616j)
41,1.1249999999999998,(-1.37971017711616-0.42393093013504j)
42,1.15,(-0.93457028743168+0.23747159392256j)
43,1.1749999999999998,(-0.47782106759168+0.90138889682944j)
44,1.1999999999999997,(0.11790547156992+1.82845918150656j)
45,1.2249999999999999,(0.68631874502656+2.66656433569792j)
46,1.2499999999999998,(1.18259013648384+3.45650982027264j)
47,1.275,(1.52095059607552+3.97248538083328j)
48,1.2999999999999998,(1.70684399484928+4.16182398091264j)
49,1.3249999999999997,(1.80743229669376+4.24102049349632j)
50,1.3499999999999999,(1.6430534964019199+4.04916866646016j)
51,1.3749999999999998,(1.32574290640896+3.59715791962112j)
52,1.4,(0.87126045622272+2.85741053640704j)
53,1.4249999999999998,(0.42001231773696+2.20562274123776j)
54,1.4499999999999997,(-0.15853093388288+1.28733071540224j)
55,1.4749999999999999,(-0.63115693654016+0.54937404833792j)
56,1.4999999999999998,(-1.12844947324928-0.18984663515136j)
57,1.5249999999999997,(-1.47406112948224-0.65559358078976j)
58,1.5499999999999998,(-1.6291062611968-0.97929549316096j)
59,1.5749999999999997,(-1.66056706441216-0.93874672369664j)
60,1.5999999999999996,(-1.50108888891392-0.64481338064896j)
61,1.6249999999999998,(-1.19083370545152-0.15514744127488j)
62,1.6499999999999997,(-0.67957925347328+0.56943724986368j)
63,1.6749999999999998,(-0.2007712661504+1.31178594041856j)
64,1.6999999999999997,(0.40113329405952+2.23514594377728j)
65,1.7249999999999996,(0.90071705321472+2.99231411699712j)
66,1.7499999999999998,(1.3101168590848+3.59414238281728j)
67,1.7749999999999997,(1.64727632166912+4.11060884471808j)
