,"xgate u3(pi,0,pi)","rx(pi) u3(pi,-pi/2,pi/2)","rx(pi/2) u2(-pi/2, pi/2)"
0,8027.0,7291.0,
1,411.0,941.0,4115.0
2,8013.0,7266.0,347.0
3,416.0,869.0,4119.0
4,7994.0,7208.0,7924.0
5,442.0,959.0,4036.0
6,7987.0,7246.0,327.0
7,434.0,945.0,4216.0
8,7960.0,7259.0,7926.0
9,466.0,972.0,3972.0
10,7960.0,7233.0,362.0
11,480.0,915.0,4255.0
12,7943.0,7162.0,7878.0
13,499.0,941.0,4021.0
14,7880.0,7215.0,361.0
15,603.0,1032.0,4248.0
16,7895.0,7135.0,7860.0
17,565.0,1054.0,3927.0
18,7893.0,7104.0,397.0
19,614.0,1042.0,4267.0
20,7843.0,7085.0,7856.0
21,614.0,1146.0,3881.0
22,7843.0,7137.0,386.0
23,624.0,1066.0,4284.0
24,7790.0,7075.0,7798.0
25,686.0,1155.0,3908.0
26,7762.0,7054.0,438.0
27,687.0,1167.0,4371.0
28,7736.0,6991.0,7791.0
29,702.0,1214.0,3927.0
30,7689.0,7022.0,468.0
31,752.0,1226.0,4423.0
32,7601.0,6923.0,7774.0
33,811.0,1211.0,3908.0
34,7620.0,6910.0,505.0
35,795.0,1308.0,4376.0
36,7639.0,6849.0,7749.0
37,853.0,1292.0,3897.0
38,7544.0,6803.0,489.0
39,883.0,1332.0,4468.0
40,7562.0,6752.0,7781.0
41,882.0,1395.0,3820.0
42,7487.0,6778.0,574.0
43,915.0,1437.0,4372.0
44,7450.0,6801.0,7665.0
45,963.0,1481.0,3758.0
46,7444.0,6706.0,586.0
47,994.0,1496.0,4445.0
48,7416.0,6599.0,7625.0
49,1013.0,1578.0,3756.0
50,7395.0,6556.0,593.0
51,1061.0,1584.0,4561.0
52,7377.0,6575.0,7623.0
53,1031.0,1559.0,3694.0
54,7330.0,6544.0,653.0
55,1106.0,1644.0,4570.0
56,7320.0,6448.0,7564.0
57,1082.0,1719.0,3717.0
58,7295.0,6471.0,664.0
59,1121.0,1774.0,4584.0
60,7219.0,6464.0,7500.0
61,1129.0,1789.0,3732.0
62,7248.0,6310.0,708.0
63,1106.0,1836.0,4553.0
64,7270.0,6234.0,7562.0
65,1196.0,1855.0,3736.0
66,7173.0,6236.0,716.0
67,1198.0,1986.0,4561.0
68,7231.0,6261.0,7481.0
69,1180.0,1938.0,3664.0
70,7174.0,6155.0,774.0
71,1222.0,1996.0,4571.0
72,7132.0,6071.0,7463.0
73,1217.0,2027.0,3768.0
74,7181.0,6046.0,811.0
75,1570.0,2110.0,4488.0
76,6545.0,5941.0,7506.0
77,1632.0,2214.0,3575.0
78,6599.0,5860.0,879.0
79,1612.0,2267.0,4672.0
80,6525.0,5771.0,7543.0
81,1596.0,2168.0,3564.0
82,6492.0,5801.0,813.0
83,1629.0,2290.0,4820.0
84,6529.0,5686.0,7495.0
85,1639.0,2344.0,3495.0
86,6513.0,5621.0,931.0
87,1740.0,2382.0,4938.0
88,6489.0,5611.0,7404.0
89,1673.0,2489.0,3419.0
90,6456.0,5547.0,960.0
91,1686.0,2476.0,4915.0
92,6487.0,5553.0,7386.0
93,1563.0,2598.0,3480.0
94,6435.0,5425.0,980.0
95,1718.0,2615.0,4898.0
96,6462.0,5422.0,7319.0
97,1684.0,2623.0,3438.0
98,6438.0,5286.0,1008.0
99,1770.0,2642.0,4925.0
100,6449.0,5308.0,7267.0
101,1772.0,2792.0,3409.0
102,6393.0,5250.0,1015.0
103,1784.0,2857.0,4965.0
104,6409.0,5159.0,7345.0
105,1776.0,2831.0,3370.0
106,6393.0,5114.0,1110.0
107,1865.0,2910.0,4920.0
108,6343.0,5115.0,7243.0
109,1884.0,2880.0,3376.0
110,6283.0,5000.0,1081.0
111,1826.0,2955.0,4935.0
112,6285.0,5087.0,7229.0
113,1854.0,3041.0,3339.0
114,6280.0,4919.0,1139.0
115,1892.0,3109.0,4919.0
116,6250.0,4953.0,7172.0
117,1926.0,3133.0,3281.0
118,6234.0,4825.0,1141.0
119,2002.0,3158.0,5004.0
120,6161.0,4808.0,7227.0
121,1987.0,3137.0,3363.0
122,6177.0,4787.0,1210.0
123,2077.0,3232.0,5016.0
124,6102.0,4754.0,7025.0
125,2041.0,3318.0,3249.0
126,6172.0,4716.0,1247.0
127,2046.0,3339.0,5028.0
128,6134.0,4544.0,7092.0
129,2071.0,3316.0,3271.0
130,6090.0,4646.0,1295.0
131,2108.0,3414.0,5090.0
132,6074.0,4577.0,7097.0
133,2155.0,3435.0,3248.0
134,6014.0,4550.0,1207.0
135,2115.0,3454.0,5080.0
136,6074.0,4510.0,7011.0
137,2161.0,3520.0,3196.0
138,5951.0,4411.0,1240.0
139,2179.0,3546.0,5045.0
140,5959.0,4374.0,6997.0
141,2193.0,3607.0,3247.0
142,5938.0,4355.0,1336.0
143,2246.0,3658.0,5122.0
144,5956.0,4443.0,7005.0
145,2287.0,3751.0,3302.0
146,5939.0,4274.0,1313.0
147,2363.0,3610.0,5059.0
148,5950.0,4258.0,6968.0
149,2342.0,3713.0,3243.0
150,,,1416.0
151,,,5013.0
152,,,7018.0
153,,,3313.0
154,,,1421.0
155,,,5076.0
156,,,6931.0
157,,,3355.0
158,,,1361.0
159,,,5033.0
160,,,6879.0
161,,,3181.0
162,,,1402.0
163,,,5060.0
164,,,6900.0
165,,,3280.0
166,,,1407.0
167,,,5092.0
168,,,6895.0
169,,,3230.0
170,,,1533.0
171,,,5087.0
172,,,6927.0
173,,,3223.0
174,,,1500.0
175,,,5228.0
176,,,6757.0
177,,,3156.0
178,,,1584.0
179,,,5152.0
180,,,6757.0
181,,,3117.0
182,,,1495.0
183,,,5127.0
184,,,6766.0
185,,,3181.0
186,,,1584.0
187,,,5175.0
188,,,6716.0
189,,,3133.0
190,,,1627.0
191,,,5214.0
192,,,6667.0
193,,,3035.0
194,,,1648.0
195,,,5254.0
196,,,6669.0
197,,,3137.0
198,,,1625.0
199,,,5219.0
200,,,6673.0
201,,,3029.0
202,,,1691.0
203,,,5226.0
204,,,6647.0
205,,,3037.0
206,,,1718.0
207,,,5310.0
208,,,6632.0
209,,,3089.0
210,,,1707.0
211,,,5234.0
212,,,6581.0
213,,,3031.0
214,,,1744.0
215,,,5240.0
216,,,6464.0
217,,,3080.0
218,,,1810.0
219,,,5180.0
220,,,6539.0
221,,,3145.0
222,,,1804.0
223,,,5248.0
224,,,6434.0
225,,,3042.0
226,,,1927.0
227,,,5319.0
228,,,6272.0
229,,,2928.0
230,,,1968.0
231,,,5303.0
232,,,6282.0
233,,,2861.0
234,,,2009.0
235,,,5318.0
236,,,6221.0
237,,,2908.0
238,,,1986.0
239,,,5292.0
240,,,6141.0
241,,,2882.0
242,,,1977.0
243,,,5337.0
244,,,6098.0
245,,,2941.0
246,,,2167.0
247,,,5316.0
248,,,6007.0
249,,,2883.0
250,,,2203.0
251,,,5374.0
252,,,6096.0
253,,,2874.0
254,,,2115.0
255,,,5335.0
256,,,6002.0
257,,,2919.0
258,,,2196.0
259,,,5376.0
260,,,6045.0
261,,,2935.0
262,,,2180.0
263,,,5273.0
264,,,5986.0
265,,,2942.0
266,,,2233.0
267,,,5354.0
268,,,5886.0
269,,,2926.0
270,,,2286.0
271,,,5337.0
272,,,5862.0
273,,,2885.0
274,,,2333.0
275,,,5317.0
276,,,5797.0
277,,,2865.0
278,,,2325.0
279,,,5321.0
280,,,5841.0
281,,,2855.0
282,,,2371.0
283,,,5303.0
284,,,5828.0
285,,,2932.0
286,,,2446.0
287,,,5282.0
288,,,5843.0
289,,,2870.0
290,,,2431.0
291,,,5185.0
292,,,5762.0
293,,,2884.0
294,,,2419.0
295,,,5218.0
296,,,5751.0
297,,,2898.0
298,,,2485.0
299,,,5281.0
300,,,5713.0
